time,pm2.5,pm10
2021/01/11-14:12:44,1.20,16.90
2021/01/11-14:12:45,1.10,14.00
2021/01/11-14:12:46,1.10,12.90
2021/01/11-14:12:47,1.10,12.90
2021/01/11-14:12:48,1.10,12.30
2021/01/11-14:12:49,1.10,11.30
2021/01/11-14:12:50,1.10,11.50
2021/01/11-14:12:51,1.10,11.60
2021/01/11-14:12:52,1.10,12.30
2021/01/11-14:12:53,1.10,12.70
2021/01/11-14:12:54,0.90,11.90
2021/01/11-14:12:55,0.90,11.30
2021/01/11-14:12:56,0.90,10.70
2021/01/11-14:12:57,0.90,10.40
2021/01/11-14:12:58,0.90,10.00
2021/01/11-14:12:59,0.90,10.40
2021/01/11-14:13:00,0.90,11.00
2021/01/11-14:13:01,0.90,11.20
2021/01/11-14:13:02,0.90,11.20
2021/01/11-14:13:03,0.90,11.20
2021/01/11-14:13:04,0.80,11.30
2021/01/11-14:13:05,0.80,10.70
2021/01/11-14:13:06,0.80,10.40
2021/01/11-14:13:07,0.80,10.60
2021/01/11-14:13:08,0.80,9.60
2021/01/11-14:13:09,0.80,9.10
2021/01/11-14:13:10,0.80,9.20
2021/01/11-14:13:11,0.80,8.80
2021/01/11-14:13:12,0.90,9.60
2021/01/11-14:13:13,0.90,10.70
2021/01/11-14:13:14,0.90,10.80
2021/01/11-14:13:15,0.90,11.00
2021/01/11-14:13:16,0.90,11.00
2021/01/11-14:13:17,0.90,11.70
2021/01/11-14:13:18,0.90,11.30
2021/01/11-14:13:19,0.90,11.70
2021/01/11-14:13:20,0.80,12.10
2021/01/11-14:13:21,0.80,11.50
2021/01/11-14:13:22,0.70,10.80
2021/01/11-14:13:23,0.70,11.20
2021/01/11-14:13:24,0.70,11.10
2021/01/11-14:13:25,0.70,11.00
2021/01/11-14:13:26,0.80,11.80
2021/01/11-14:13:27,0.80,11.80
2021/01/11-14:13:28,0.80,11.60
2021/01/11-14:13:29,0.80,11.80
2021/01/11-14:13:30,0.80,11.40
2021/01/11-14:13:31,0.80,11.40
2021/01/11-14:13:32,0.80,11.40
2021/01/11-14:13:33,0.80,10.00
2021/01/11-14:13:34,0.80,10.10
2021/01/11-14:13:35,0.80,9.90
2021/01/11-14:13:36,0.70,9.70
2021/01/11-14:13:37,0.70,9.50
2021/01/11-14:13:38,0.70,9.50
2021/01/11-14:13:39,0.70,9.40
2021/01/11-14:13:40,0.70,9.10
2021/01/11-14:13:41,0.70,9.00
2021/01/11-14:13:42,0.60,8.10
2021/01/11-14:13:43,0.60,6.80
2021/01/11-14:13:44,0.60,6.60
2021/01/11-14:13:45,0.60,7.10
2021/01/11-14:13:46,0.60,7.80
2021/01/11-14:13:47,0.60,8.50
2021/01/11-14:13:48,0.60,8.60
2021/01/11-14:13:49,0.60,8.20
2021/01/11-14:13:50,0.50,7.40
2021/01/11-14:13:51,0.50,7.50
2021/01/11-14:13:52,0.50,7.80
2021/01/11-14:13:53,0.50,7.70
2021/01/11-14:13:54,0.50,7.70
2021/01/11-14:13:55,0.50,7.90
2021/01/11-14:13:56,0.50,7.00
