time,pm2.5,pm10,fan
2021/01/20-19:44:28,5.60,17.00,2
2021/01/20-19:44:29,5.50,17.50,2
2021/01/20-19:44:30,5.50,17.90,2
2021/01/20-19:44:31,5.50,18.20,2
2021/01/20-19:44:32,5.50,17.70,2
2021/01/20-19:44:33,5.50,17.70,2
2021/01/20-19:44:34,5.50,17.20,2
2021/01/20-19:44:35,5.50,17.40,2
2021/01/20-19:44:36,5.50,17.30,2
2021/01/20-19:44:37,5.50,17.10,2
2021/01/20-19:44:38,5.50,17.40,2
2021/01/20-19:44:39,5.50,17.80,2
2021/01/20-19:44:40,5.60,17.80,2
2021/01/20-19:44:41,5.60,18.30,2
2021/01/20-19:44:42,5.70,18.80,2
2021/01/20-19:44:43,5.70,18.90,2
2021/01/20-19:44:44,5.70,18.90,2
2021/01/20-19:44:45,5.70,18.90,2
2021/01/20-19:44:46,5.70,18.90,2
2021/01/20-19:44:47,5.70,19.10,2
2021/01/20-19:44:48,5.60,18.50,2
2021/01/20-19:44:49,5.60,18.50,2
2021/01/20-19:44:50,5.50,18.60,2
2021/01/20-19:44:51,5.60,18.70,2
2021/01/20-19:44:52,5.60,19.00,2
2021/01/20-19:44:53,5.50,19.00,2
2021/01/20-19:44:54,5.50,18.90,2
2021/01/20-19:44:55,5.60,18.90,2
2021/01/20-19:44:56,5.60,18.20,2
2021/01/20-19:44:57,5.60,17.80,2
2021/01/20-19:44:58,5.60,17.70,2
2021/01/20-19:44:59,5.60,17.60,2
2021/01/20-19:45:00,5.60,17.00,2
2021/01/20-19:45:01,5.60,16.80,2
2021/01/20-19:45:02,5.60,17.10,2
2021/01/20-19:45:03,5.60,17.70,2
2021/01/20-19:45:04,5.80,18.30,2
2021/01/20-19:45:05,5.70,18.50,2
2021/01/20-19:45:06,5.70,18.20,2
2021/01/20-19:45:07,5.70,18.00,2
