time,pm2.5,pm10,fan
2021/01/20-19:27:40,12.20,58.10,3
2021/01/20-19:27:41,12.20,57.80,3
2021/01/20-19:27:42,12.30,58.00,3
2021/01/20-19:27:43,12.30,56.80,3
2021/01/20-19:27:44,12.20,56.90,3
2021/01/20-19:27:45,12.20,57.40,3
2021/01/20-19:27:46,12.20,58.10,3
2021/01/20-19:27:47,12.00,58.40,3
2021/01/20-19:27:48,11.90,58.00,3
2021/01/20-19:27:49,11.80,56.60,3
2021/01/20-19:27:50,11.80,56.60,3
2021/01/20-19:27:51,11.90,57.70,3
2021/01/20-19:27:52,12.00,57.40,3
2021/01/20-19:27:53,11.90,57.50,3
2021/01/20-19:27:54,11.80,55.90,3
2021/01/20-19:27:55,11.90,56.30,3
2021/01/20-19:27:56,11.90,55.50,3
2021/01/20-19:27:57,11.90,54.60,3
2021/01/20-19:27:58,11.90,54.20,3
2021/01/20-19:27:59,11.80,52.20,3
2021/01/20-19:28:00,11.90,53.00,3
2021/01/20-19:28:01,11.90,52.80,3
2021/01/20-19:28:02,11.90,53.10,3
2021/01/20-19:28:03,11.90,53.40,3
2021/01/20-19:28:04,11.70,53.10,3
2021/01/20-19:28:05,11.70,53.50,3
2021/01/20-19:28:06,11.50,51.40,3
2021/01/20-19:28:07,11.50,51.00,3
2021/01/20-19:28:08,11.40,50.20,3
2021/01/20-19:28:09,11.40,49.10,3
2021/01/20-19:28:10,11.40,49.50,3
2021/01/20-19:28:11,11.30,49.10,3
2021/01/20-19:28:12,11.30,49.80,3
2021/01/20-19:28:13,11.20,51.00,3
2021/01/20-19:28:14,11.20,50.40,3
2021/01/20-19:28:15,11.20,50.20,3
2021/01/20-19:28:16,11.10,49.20,3
2021/01/20-19:28:17,11.00,49.80,3
2021/01/20-19:28:18,11.10,49.80,3
2021/01/20-19:28:19,11.20,49.80,3
2021/01/20-19:28:20,11.20,51.40,3
2021/01/20-19:28:21,11.10,51.00,3
2021/01/20-19:28:22,11.10,51.30,3
2021/01/20-19:28:23,11.20,50.70,3
2021/01/20-19:28:24,11.00,51.00,3
2021/01/20-19:28:25,11.00,49.80,3
2021/01/20-19:28:26,10.80,48.70,3
2021/01/20-19:28:27,10.70,49.20,3
2021/01/20-19:28:28,10.60,49.20,3
2021/01/20-19:28:29,10.70,49.40,3
2021/01/20-19:28:30,10.50,48.20,3
2021/01/20-19:28:31,10.40,49.10,3
2021/01/20-19:28:32,10.30,47.90,3
2021/01/20-19:28:33,10.20,46.80,3
2021/01/20-19:28:34,10.20,47.40,3
2021/01/20-19:28:35,10.20,47.20,3
2021/01/20-19:28:36,10.30,49.50,3
2021/01/20-19:28:37,10.10,49.10,3
2021/01/20-19:28:39,10.20,48.70,3
2021/01/20-19:28:40,10.20,48.40,3
2021/01/20-19:28:41,10.10,47.70,3
2021/01/20-19:28:42,10.10,47.90,3
2021/01/20-19:28:43,9.90,46.40,3
2021/01/20-19:28:44,9.90,44.70,3
2021/01/20-19:28:45,9.80,44.20,3
2021/01/20-19:28:46,9.80,43.40,3
2021/01/20-19:28:47,9.70,43.50,3
